Archaea	Bacteria	Eukaryotes	Viruses
	7351.0	25721.0	8.0
	2914.0	20720.0	49.0
	1690.0	16224.0	7.0
	4185.0	10409.0	3.0
	2018.0	14339.0	61.0
	4341.0	6361.0	80.0
	4062.0	9073.0	1.0
	2936.0	10057.0	62.0
	2142.0	13164.0	127.0
	3499.0	14302.0	3.0
	5347.0	19667.0	10.0
	3153.0	14068.0	32.0
	1100.0	12174.0	2.0
	2024.0	7182.0	3.0
	1965.0	12608.0	7.0
	4289.0	8944.0	80.0
	2761.0	33119.0	2.0
	3633.0	11687.0	63.0
	633.0	10208.0	2.0
	2886.0	18544.0	2.0
	2551.0	5921.0	4.0
	4305.0	20052.0	262.0
	695.0	13797.0	2.0
	3642.0	28132.0	61.0
	2160.0	2768.0	204.0
	4374.0	2236.0	5.0
	1508.0	11867.0	6.0
	3167.0	12852.0	6.0
	1892.0	16572.0	49.0
	3739.0	29979.0	4.0
	5347.0	14938.0	59.0
	8414.0	7354.0	7.0
	4271.0	9831.0	1.0
	1573.0	14539.0	64.0
	3465.0	13658.0	57.0
	3743.0	21778.0	25.0
	2947.0	23671.0	77.0
	2217.0	61712.0	237.0
	2669.0	18561.0	1.0
	313.0	11372.0	56.0
	723.0	9445.0	38.0
	3594.0	21880.0	4.0
	3429.0	8595.0	7.0
	8558.0	14140.0	1.0
	4142.0	27058.0	1.0
	1572.0	11768.0	66.0
	5750.0	13291.0	55.0
	2004.0	24714.0	7.0
	4193.0	3805.0	1.0
	1919.0	6442.0	1.0
	4762.0	11728.0	6.0
	2252.0	10836.0	53.0
	4401.0	18610.0	10.0
	4207.0	11247.0	48.0
	3729.0	50190.0	2.0
	2981.0	8122.0	3.0
	4907.0	16483.0	87.0
	3080.0	31361.0	2.0
	2595.0	4900.0	59.0
	3981.0	6625.0	5.0
	728.0	26595.0	70.0
	6268.0	21801.0	1.0
	4889.0	14951.0	6.0
	5066.0	31934.0	74.0
	2962.0	17182.0	65.0
	2589.0	21611.0	2.0
	5675.0	21354.0	12.0
	3646.0	40588.0	74.0
	10148.0	11701.0	1.0
	7836.0	23629.0	67.0
	5206.0	16678.0	7.0
	3056.0	25533.0	79.0
	5930.0	12499.0	11.0
	3807.0	26625.0	31.0
	3857.0	39089.0	1.0
	2784.0	7033.0	65.0
	3296.0	27206.0	169.0
	2533.0	13490.0	4.0
	4452.0	12697.0	4.0
	2990.0	24825.0	4.0
	3514.0	8231.0	4.0
	3389.0	10037.0	49.0
	2516.0	5146.0	6.0
	4557.0	8045.0	9.0
	2853.0	8125.0	235.0
	2338.0	13001.0	1.0
	4181.0	16778.0	27.0
	4261.0	13222.0	110.0
	2754.0	8515.0	3.0
	4028.0	20502.0	1.0
	4422.0	16339.0	3.0
	5330.0	16338.0	3.0
	405.0	4429.0	3.0
	2948.0	20715.0	68.0
	1400.0	12795.0	74.0
	7048.0	10407.0	2.0
	778.0	10656.0	74.0
	3342.0	9869.0	82.0
	4618.0	14272.0	7.0
	2394.0	13171.0	3.0
	1836.0	1503.0	70.0
	2077.0	11306.0	71.0
	3112.0	8201.0	11.0
	1578.0	9760.0	67.0
